Index,Sort_ID,ID,Text_Unit_ID,Stressed_Unit,Morph,Lemma,Analysis,Rel,Trans,Part_Of_Speech,Meaning,Textual_Unit,Translation
1,1,140324,S0050-1,.i.,.i.,.i.,,,,,"id est, it is",.i. cech dason . dombersom beus,"That is, [it is] two words each that he continues to put."
2,2,119516,S0050-1,cech da son,∅,is 1,3sg.pres.ind.,No,intrans.,verb,"to be, the copula",.i. cech dason . dombersom beus,"That is, [it is] two words each that he continues to put."
3,3,119517,S0050-1,cech da son,cech,cach,nom.du.masc.,,,adjective_quantifier,"every, each, all, any ",.i. cech dason . dombersom beus,"That is, [it is] two words each that he continues to put."
4,4,119518,S0050-1,cech da son,da,da,nom.du.masc.,,,adjective_numeral,two,.i. cech dason . dombersom beus,"That is, [it is] two words each that he continues to put."
5,5,119519,S0050-1,cech da son,son,son 1,nom.du.,,,noun,"sound, word, name ",.i. cech dason . dombersom beus,"That is, [it is] two words each that he continues to put."
6,6,119521,S0050-1,do·mber-som,do·,do·,,,,particle_preverb,aspectual and lexicalized meanings,.i. cech dason . dombersom beus,"That is, [it is] two words each that he continues to put."
7,7,119522,S0050-1,do·mber-som,∅,nas.rel.particle,,,,particle_relative,nasalising relative particle,.i. cech dason . dombersom beus,"That is, [it is] two words each that he continues to put."
8,8,119520,S0050-1,do·mber-som,do·mber,do·beir,3sg.pres.ind.,Yes,trans.,verb,"to give, to place, to bring, to get, to cite, to impose on, to put on, to inflict on ",.i. cech dason . dombersom beus,"That is, [it is] two words each that he continues to put."
9,9,119523,S0050-1,do·mber-som,som,nota augens,3sg.masc.,,,particle_pronominal,emphasising particle,.i. cech dason . dombersom beus,"That is, [it is] two words each that he continues to put."
10,10,119524,S0050-1,beus,beus,beös,,,,adverb,"still, yet, further, moreover, again, besides, also, in addition",.i. cech dason . dombersom beus,"That is, [it is] two words each that he continues to put."
11,1,119525,S0050-2,oingthe,oingthe,oingthe,nom.sg.masc.,,,verbal_participle,anointed,oingthe,annointed
