Index,ID,Text_Unit_ID,Stressed_Unit,Morph,Lemma,Analysis,Rel,Trans,Part_Of_Speech,Meaning,Textual_Unit,Translation
1,118777,S0037-1,do toscelad,do,do 1,dat.,,,preposition,"to, for, by etc.",do toscelad cidlae sœchtmaine forá mbí kɫ Ianuarii,to ascertain what is the day of the week on which the calends of January are
2,118778,S0037-1,do toscelad,toscelad,toiscélad,dat.sg.,,,verbal_noun,"the act of exploring, examining; divination",do toscelad cidlae sœchtmaine forá mbí kɫ Ianuarii,to ascertain what is the day of the week on which the calends of January are
3,118779,S0037-1,cid lae,cid,cía 1,,,,pronoun_interrogative,"who, what, which",do toscelad cidlae sœchtmaine forá mbí kɫ Ianuarii,to ascertain what is the day of the week on which the calends of January are
4,118780,S0037-1,cid lae,∅,is 1,3sg.pres.ind.,,intrans.,verb,"to be, the copula",do toscelad cidlae sœchtmaine forá mbí kɫ Ianuarii,to ascertain what is the day of the week on which the calends of January are
5,118781,S0037-1,cid lae,lae,laë,nom.sg.,,,noun,"day, daytime",do toscelad cidlae sœchtmaine forá mbí kɫ Ianuarii,to ascertain what is the day of the week on which the calends of January are
6,118782,S0037-1,sœchtmaine,sœchtmaine,sechtmain,gen.sg.,,,noun,week,do toscelad cidlae sœchtmaine forá mbí kɫ Ianuarii,to ascertain what is the day of the week on which the calends of January are
7,118783,S0037-1,forá·mbí,·mbí,ad·tá,3sg.hab.,Yes,intrans.,verb,"to be, to exist, ",do toscelad cidlae sœchtmaine forá mbí kɫ Ianuarii,to ascertain what is the day of the week on which the calends of January are
8,118784,S0037-1,forá·mbí,for,for,dat.,,,preposition,"upon, over, on",do toscelad cidlae sœchtmaine forá mbí kɫ Ianuarii,to ascertain what is the day of the week on which the calends of January are
9,118785,S0037-1,forá·mbí,á·,-(s)a·,,,,pronoun_relative,"which, who, whose",do toscelad cidlae sœchtmaine forá mbí kɫ Ianuarii,to ascertain what is the day of the week on which the calends of January are
10,118786,S0037-1,kɫ,kɫ,kalendae,,,,noun,"Kalends, the calends, the first day of the month",do toscelad cidlae sœchtmaine forá mbí kɫ Ianuarii,to ascertain what is the day of the week on which the calends of January are
11,118786,S0037-1,kɫ,kɫ,kalendae,,,,noun,,do toscelad cidlae sœchtmaine forá mbí kɫ Ianuarii,to ascertain what is the day of the week on which the calends of January are
12,118787,S0037-1,Ianuarii,Ianuarii,iānuārius,gen.sg.masc.,,,adjective,of January,do toscelad cidlae sœchtmaine forá mbí kɫ Ianuarii,to ascertain what is the day of the week on which the calends of January are
13,118788,S0037-2,do toscelad,do,do 1,dat.,,,preposition,"to, for, by etc.",do toscelad cid aes nescai bíss for kɫ Ianuarii,to ascertain what is the age of the moon that is on the kalends of January
14,118789,S0037-2,do toscelad,toscelad,toiscélad,dat.sg.,,,verbal_noun,"the act of exploring, examining; divination",do toscelad cid aes nescai bíss for kɫ Ianuarii,to ascertain what is the age of the moon that is on the kalends of January
15,118790,S0037-2,cid aes,cid,cía 1,,,,pronoun_interrogative,"who, what, which",do toscelad cid aes nescai bíss for kɫ Ianuarii,to ascertain what is the age of the moon that is on the kalends of January
16,118791,S0037-2,cid aes,∅,is 1,3sg.pres.ind.,No,intrans.,verb,"to be, the copula",do toscelad cid aes nescai bíss for kɫ Ianuarii,to ascertain what is the age of the moon that is on the kalends of January
17,118792,S0037-2,cid aes,aes,áes 1,nom.sg.,,,noun,"stage, period (of life); age, years (of person etc.)",do toscelad cid aes nescai bíss for kɫ Ianuarii,to ascertain what is the age of the moon that is on the kalends of January
18,118793,S0037-2,n-escai,nescai,éscae,gen.sg.,,,noun," moon, month",do toscelad cid aes nescai bíss for kɫ Ianuarii,to ascertain what is the age of the moon that is on the kalends of January
19,118794,S0037-2,bíss,bíss,ad·tá,3sg.hab.rel.,Yes,intrans.,verb,"to be, to exist, ",do toscelad cid aes nescai bíss for kɫ Ianuarii,to ascertain what is the age of the moon that is on the kalends of January
20,118795,S0037-2,for kɫ,for,for,dat.,,,preposition,"upon, over, on",do toscelad cid aes nescai bíss for kɫ Ianuarii,to ascertain what is the age of the moon that is on the kalends of January
21,118796,S0037-2,for kɫ,kɫ,kalendae,,,,noun,"Kalends, the calends, the first day of the month",do toscelad cid aes nescai bíss for kɫ Ianuarii,to ascertain what is the age of the moon that is on the kalends of January
22,118796,S0037-2,for kɫ,kɫ,kalendae,,,,noun,,do toscelad cid aes nescai bíss for kɫ Ianuarii,to ascertain what is the age of the moon that is on the kalends of January
